county_fips,county_name,pathogen_slug,pathogen_raw,sample_date,percentile,detect_prop_15d,trend_pct_15d,our_level,our_trend,plant_name,population_served,fetched_at
36059,Nassau,covid-19,SARS-CoV-2,2026-07-18,0.36,,,low,stable,ID:1329,611349,2026-07-29T09:37:29Z
36059,Nassau,covid-19,SARS-CoV-2,2026-07-18,0.33,,,low,stable,ID:1330,524955,2026-07-29T09:37:29Z
36059,Nassau,covid-19,SARS-CoV-2,2026-07-18,0.39,,,low,stable,ID:1331,27494,2026-07-29T09:37:29Z
36063,Niagara,covid-19,SARS-CoV-2,2026-07-18,1.0,,,low,stable,ID:1339,48196,2026-07-29T09:37:29Z
36065,Oneida,covid-19,SARS-CoV-2,2026-07-18,1.0,,,low,stable,ID:2567,33358,2026-07-29T09:37:29Z
36067,Onondaga,covid-19,SARS-CoV-2,2026-07-18,1.0,,,low,stable,ID:1354,30613,2026-07-29T09:37:29Z
36067,Onondaga,covid-19,SARS-CoV-2,2026-07-18,1.0,,,low,stable,ID:1355,16168,2026-07-29T09:37:29Z
36067,Onondaga,covid-19,SARS-CoV-2,2026-07-18,1.0,,,low,stable,ID:1356,39352,2026-07-29T09:37:29Z
36067,Onondaga,covid-19,SARS-CoV-2,2026-07-18,1.0,,,low,stable,ID:1357,242377,2026-07-29T09:37:29Z
36067,Onondaga,covid-19,SARS-CoV-2,2026-07-18,1.0,,,low,stable,ID:1359,50727,2026-07-29T09:37:29Z
36067,Onondaga,covid-19,SARS-CoV-2,2026-07-18,1.0,,,low,stable,ID:1361,25965,2026-07-29T09:37:29Z
36069,Ontario,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1362,17936,2026-07-29T09:37:29Z
36069,Ontario,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1363,16507,2026-07-29T09:37:29Z
36071,Orange,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1364,6369,2026-07-29T09:37:29Z
36071,Orange,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1365,27434,2026-07-29T09:37:29Z
36071,Orange,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1366,36227,2026-07-29T09:37:29Z
36071,Orange,covid-19,SARS-CoV-2,2026-07-11,3.39,,,low,stable,ID:1368,8568,2026-07-29T09:37:29Z
36071,Orange,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1369,6563,2026-07-29T09:37:29Z
36071,Orange,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1370,28914,2026-07-29T09:37:29Z
36071,Orange,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1371,6729,2026-07-29T09:37:29Z
36073,Orleans,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1375,6191,2026-07-29T09:37:29Z
36075,Oswego,covid-19,SARS-CoV-2,2026-07-18,1.14,,,low,stable,ID:1378,30000,2026-07-29T09:37:29Z
36075,Oswego,influenza,Influenza A virus,2026-07-18,1.0,,,low,stable,ID:1378,30000,2026-07-29T09:37:29Z
36075,Oswego,rsv,RSV,2026-07-18,1.0,,,low,stable,ID:1378,30000,2026-07-29T09:37:29Z
36077,Otsego,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1381,19383,2026-07-29T09:37:29Z
36079,Putnam,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1382,4480,2026-07-29T09:37:29Z
36083,Rensselaer,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1389,79699,2026-07-29T09:37:29Z
36087,Rockland,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1393,36527,2026-07-29T09:37:29Z
36087,Rockland,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1394,53437,2026-07-29T09:37:29Z
36087,Rockland,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1396,12676,2026-07-29T09:37:29Z
36087,Rockland,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1397,10890,2026-07-29T09:37:29Z
36087,Rockland,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1398,4115,2026-07-29T09:37:29Z
36091,Saratoga,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1404,152482,2026-07-29T09:37:29Z
36093,Schenectady,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1405,78444,2026-07-29T09:37:29Z
36095,Schoharie,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1406,5326,2026-07-29T09:37:29Z
36099,Seneca,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1409,6160,2026-07-29T09:37:29Z
36101,Steuben,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1412,5162,2026-07-29T09:37:29Z
36103,Suffolk,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1414,3349,2026-07-29T09:37:29Z
36103,Suffolk,covid-19,SARS-CoV-2,2026-07-11,2.17,,,low,stable,ID:1415,7741,2026-07-29T09:37:29Z
36103,Suffolk,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1416,6280,2026-07-29T09:37:29Z
36103,Suffolk,covid-19,SARS-CoV-2,2026-07-11,2.28,,,low,stable,ID:1417,28183,2026-07-29T09:37:29Z
36103,Suffolk,covid-19,SARS-CoV-2,2026-07-11,0.46,,,low,stable,ID:1418,7499,2026-07-29T09:37:29Z
36103,Suffolk,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1419,5789,2026-07-29T09:37:29Z
36103,Suffolk,covid-19,SARS-CoV-2,2026-07-11,0.5,,,low,stable,ID:1420,24147,2026-07-29T09:37:29Z
36103,Suffolk,covid-19,SARS-CoV-2,2026-07-11,2.94,,,low,stable,ID:1421,278775,2026-07-29T09:37:29Z
36105,Sullivan,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1424,6639,2026-07-29T09:37:29Z
36105,Sullivan,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1425,4925,2026-07-29T09:37:29Z
36107,Tioga,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1429,3750,2026-07-29T09:37:29Z
36109,Tompkins,covid-19,SARS-CoV-2,2026-07-18,0.49,,,low,stable,ID:1431,90000,2026-07-29T09:37:29Z
36109,Tompkins,influenza,Influenza A virus,2026-07-18,1.0,,,low,stable,ID:1431,90000,2026-07-29T09:37:29Z
36109,Tompkins,rsv,RSV,2026-07-18,1.0,,,low,stable,ID:1431,90000,2026-07-29T09:37:29Z
36111,Ulster,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1432,26599,2026-07-29T09:37:29Z
36111,Ulster,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1433,10577,2026-07-29T09:37:29Z
36113,Warren,covid-19,SARS-CoV-2,2026-07-18,1.0,,,low,stable,ID:1435,23462,2026-07-29T09:37:29Z
36115,Washington,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1437,12260,2026-07-29T09:37:29Z
36117,Wayne,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1440,5145,2026-07-29T09:37:29Z
36119,Westchester,covid-19,SARS-CoV-2,2026-07-18,8.08,,,high,stable,ID:1442,94095,2026-07-29T09:37:29Z
36119,Westchester,covid-19,SARS-CoV-2,2026-07-18,1.0,,,low,stable,ID:1443,44876,2026-07-29T09:37:29Z
36119,Westchester,covid-19,SARS-CoV-2,2026-07-18,1.0,,,low,stable,ID:1444,31046,2026-07-29T09:37:29Z
36119,Westchester,covid-19,SARS-CoV-2,2026-07-18,1.0,,,low,stable,ID:1446,26651,2026-07-29T09:37:29Z
36121,Wyoming,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1448,3448,2026-07-29T09:37:29Z
36123,Yates,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1449,5339,2026-07-29T09:37:29Z
